FID,OBJECTID,SLUM_CODE,SLUM_NAME,SRNO,CA,WARD_2017,PRABHAG_20,VILLEGE,LANDMARK,Road_Abutt,DECLARATIO,DECLARE_DT,DECLARE_AR,APPROX_HH,AREA_SQM,SNO_CTSNO_,OWNERSHIP,TENEBILITY,LANDUSE,POPULATION,SRA_STATUS,RAY_CODE_N,GIS_ID,SLUM_RATIN,Shape_Leng,Shape_Area,SCHEME_COV,DENSITY
22,23,1203073509,S.NO.65 66 PADAMAVATI VASAHAT NEAR PADMAVATI MANDIR,234,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,BEHIND PADMAVATI TEMPLE,12M DP ROAD,DECLARED,MGG 08/12/1983 Pg 3312,4620 SQM,142,5867.556643,"S.NO.65, 66, 75",PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,852,NO,1011,SAHA6708,82,336.1847508,5867.556643, ,242
23,24,1203073516,S.NO.83 SARANG GAVALIWADA,241,CA-1,07 DHANAKWADI SAHAKAR NAGAR,35 SAHAKAR NAGAR PADMAVATI,PARVATI,GANDHI TRANINING COLLEGE PARVATI,24M DP ROAD,DECLARED,MGG 03/09/1992 Pg 1734,5068.12 SQM,200,6843.70116,S.NO.83,PRIVATE,TENABLE,EWS ZONE,1200,PRAPOSAL SUBMITTED BY PUSHPA SHAHA,1018,SAHA6710,82,396.7358545,6843.70116, ,292
24,25,1201020102,BHIM NAGAR YERAWADA,15,CA-3,02 YERWADA KALAS DHANORI,01 KALAS DHANORI,DHANORI,DHANORI ROAD,24M DP ROAD,NOT DECLARED, , ,455,16008.17332,S.NO.46A,PRIVATE + PMC,TENABLE,RESERVATION PG-60 EWS ZONE,2730,NO,0608,SANG0501,69,591.8799379,16008.17332, ,284
25,26,1205131607,CHHOTI DARGA SHAIKH SALLA DARGA,382,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,TPS-I,JUNA BAZAR,30M DP ROAD,DECLARED,24-Aug-89,807.1,126,1340.567423,"CTS.NO.1271, 1270, 1273, 1272, 1277, 1278",PRIVATE + STATE GOVT,TENABLE,EWS ZONE RESIDENTIAL ZONE,756,NO,0515,DHOL2304,78,183.4227045,1340.567423, ,940
26,27,1205132910,NIMBALKAR WADA,404,CA-3,13 KASBA VISHRAMBAG,29 NAVI PETH PARVATI,TPS-III,NIMBALKAR WADA,INTERNAL ROAD,NOT DECLARED, , ,75,1728.10479,"FP.NO.8, 9",PRIVATE + PMC,COMPLETED,PSP ZONE,450,SRA SCHEME COMPLETED BY KEDAR ASSOCIATES,1108,KASB5105,82,167.8319386,1728.10479, ,434
27,28,1205141815,VITTHAL NAGAR 41 GHORAPADI PETH,439,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,GURUWAR PETH,VITTHAL NAGAR 41 GHORAPADI PETH,INTERNAL PETH ROAD,DECLARED,MGG 26/02/1976 Pg __,369.70 SQM,40,3445.652614,"CTS.NO.41/1, 45, 57 TO 64, 67 TO 71, 74 TO 78, 80 TO 84, 85A, 85B, 86, 87, 88, 61A, 83A",PRIVATE,TENABLE,RESIDENTIAL ZONE,240,NO,0966,BHAV5907,84,274.4423605,3445.652614, ,116
28,29,1203091305,HAPPY COLONY AKHIL MARUTI NAGAR GOSAVAVI VASTI,288,CA-2,09 WARJE KARVE NAGAR,13 ERANDWANA HAPPY COLONY,KOTHRUD,SHIVNE GAOTHAN,20M DP ROAD,NOT DECLARED, , ,971,26026.29805,"S.NO.159, 160",PRIVATE,TENABLE,EWS ZONE,5826,PRAPOSAL SUBMITTED BY BHAKTI ENTERPEISES,0405,WARJ3201,68,670.6813762,26026.29805, ,373
29,30,1203093103,SHRAMIK VASTI WADAR VASTI,302,CA-2,09 WARJE KARVE NAGAR,31 KARVE NAGAR,HINGNE BU,KARVE INSTITUTE,15M DP ROAD,DECLARED,MGG 31/10/1984 Pg 5,12759 SQM,941,22320.5246,"S.NO.53, 53P",PRIVATE + PMC,TENABLE,EWS ZONE,5646,PENDING PRAPOSAL BY KRANTI DEVELOPER,0413,WARJ3002,73,700.9015683,22320.5246, ,422
30,31,1203093101,BHIM JYOTI SAMBHAJI NAGAR,300,CA-2,09 WARJE KARVE NAGAR,31 KARVE NAGAR,HINGNE BU,KARVE INSTITUTE,NO ACCESS ROAD,NOT DECLARED, , ,55,11404.57255,S.NO.18,PRIVATE + STATE GOVT,UNTENABLE,PSP ZONE,330,NO,0401,WARJ3001,48,516.8248582,11404.57255, ,48
31,32,1201010302,GANDHI NAGAR YERAWADA,2,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,YERAWADA,AIRPORT ROAD,INTERNAL LAYOUT ROAD,DECLARED,MGG 28/07/1983 Pg 1648,48579.29 SQM,817,27747.53944,S.NO.103(PT),PRIVATE,TENABLE,EWS ZONE,4902,NO,0705,NAGA1702,73,838.3923578,27747.53944, ,294
32,33,1201010308,YAMUNA NAGAR VIMAN NAGAR YERAWADA,8,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,LOHAGAON,NEAR AIRPORT,20M DP ROAD,DECLARED,MGG 19/10/1989 Pg 2312,4940 SQM,495,14298.42675,S.NO.199,STATE GOVT,UNTENABLE,RESERVATION CPG-61 D&MH-10 DP ROAD,2970,NO,0720,NAGA0305,65,542.8506727,14298.42675, ,346
33,34,1201020608,KAMRAJ NAGAR YERAWADA,43,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR AIRPORT ROAD YERAWADA,30M DP ROAD,NOT DECLARED, , ,838,38271.24843,"S.NO.97, 10A pt, 16B",PMC + STATE GOVT,TENABLE,EWS ZONE,5028,NO,0615,SANG1506,76,1232.030327,38271.24843, ,219
34,35,1201020215,SRAMIK VASAHAT YERAWADA,35,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR CENTRAL JAIL,20M DP ROAD,DECLARED,MGG 09/03/1989 Pg 428,6191 SQM,151,5137.116299,S.NO.154,PRIVATE,TENABLE,RESERVATION EWS-15 DP RAOD,906,NO,0717,NAGA0407,75,335.5669555,5137.116299, ,294
35,36,1201020208,KAMGAR NAGAR YERAWADA,28,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR CENTRAL JAIL,15M DP ROAD,DECLARED,MGG 03/03/1989 Pg 428,3749 SQM,94,3218.977915,S.NO.154,PRIVATE + STATE GOVT,TENABLE,EWS ZONE,564,NO,0710,NAGA0404,78,248.3278876,3218.977915, ,292
36,37,1201020621,SHELAR CHAWL YERAWADA,56,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR BUND GARDEN,45M DP ROAD,DECLARED,MGG 29/03/1990 Pg 771,1409 SQM,168,4118.328716,CTS.NO.1288,PRIVATE + STATE GOVT,TENABLE,EWS ZONE RESIDENTIAL ZONE,1008,NO,0634,SANG1411,77,282.2241145,4118.328716, ,408
37,38,1201020210,NAGPUR CHAWL YERAWADA,30,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR CENTRAL JAIL YERAWADA,30M DP ROAD,DECLARED,MGG 28/07/1983 Pg 1649,72448 SQM,1902,86379.71108,S.NO.191,PMC + STATE GOVT,TENABLE,EWS ZONE,11412,IN SITU REDEVELOPMENT UNDER BSUP PROJECT,0712,NAGA0405,86,1507.507124,86379.71108, ,220
38,39,1201010401,AMBEDKAR VASAHAT NEAR SUNDARABAI SCHOOL,10,CA-3,01 NAGAR ROAD VADGAONSHERI,04 KHARADI CHANDAN NAGAR,KHARADI,SUNDARABAI SCHOOL,18M DP ROAD,NOT DECLARED, , ,555,12760.07134,S.NO.37/1&2,PRIVATE,TENABLE,RESIDENTIAL ZONE,3330,NO,0701,NAGA1901,74,616.2366025,12760.07134, ,435
39,40,1201010304,SANJAY PARK NEAR SYMBOISIS COLLEGE YERAWADA,4,CA-3,01 NAGAR ROAD VADGAONSHERI,03 VIMAN NAGAR SOMNATH NAGAR,LOHAGAON,AIRPORT ROAD,30M DP ROAD,NOT DECLARED, , ,289,6796.815461,S.NO.233A,PRIVATE + PMC,TENABLE,EWS ZONE,1734,NO,0715,NAGA0301,74,385.5730933,6796.815461, ,425
40,41,1201020612,NETAJI NAGAR YERAWADA,47,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,NEAR GUNJAN CINEMA YERAWADA,INTERNAL ROAD,NOT DECLARED, , ,214,7106.713937,"SNO 7, 8",PRIVATE + PMC,TENABLE,EWS + RESIDENTIAL ZONE,1284,NO,0713,NAGA1704,70,424.5466375,7106.713937, ,301
41,42,1201020214,SHANTI NAGAR YERAWADA,34,CA-3,02 YERWADA KALAS DHANORI,02 PHULE NAGAR NAGPUR CHAWL,YERAWADA,NEAR MENTAL HOSPITAL YERAWADA,30M OLD PUNE ALANDI ROAD,DECLARED,MGG 27/10/1988 Pg 1649,26900 SQM,1203,44693.25035,"S.NO.109, 110",CENTRAL GOVT,TENABLE,GREEN BELT + EWS ZONE + RESERVATION YGC-5,7218,PRAPOSAL PENDING,0632,SANG1607,73,1001.319246,44693.25035, ,269
42,43,1201020623,SUBHASH NAGAR YERAWADA,58,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,SALES TAX OFFICE YERAWADA,30M DP ROAD,NOT DECLARED, , ,1336,40341.53294,S.NO.7,PMC,TENABLE,EWS + RESIDENTIAL ZONE + RESERVATION D&MH-9,8016,NO,0637,SANG1509,73,985.2878682,40341.53294, ,331
43,44,1201020625,WADAR VASTI YERAWADA,60,CA-3,02 YERWADA KALAS DHANORI,06 YERAWADA,YERAWADA,BUND GARDEN,45M DP ROAD,DECLARED,MGG 08/12/1983 Pg,42921 SQM,550,14082.10015,S.NO.10,PRIVATE + STATE GOVT,TENABLE,EWS ZONE,3300,NO,0639,SANG1413,73,520.4603759,14082.10015, ,391
44,45,1202040810,CHIKHALWADI AUNDH ROAD,128,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,CHIKHALWADI,12M DP ROAD,NOT DECLARED, , ,302,10142.13186,"S.NO.29, 22D",PRIVATE + DEFENCE,TENABLE,EWS ZONE,1812,NO,0111,AUND0607,74,508.4351719,10142.13186, ,298
45,46,1202040807,BHAU PATIL PADAL AUNDH ROAD,125,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,RANGE HILLS,INTERNAL ACCESS ROAD,DECLARED,MGG 17/05/1984 Pg 1656,14700 SQM,515,23379.95358,"S.NO.36, 37A, 37C, 69",PRIVATE + DEFENCE,TENABLE,EWS ZONE DP ROAD,3090,NO,0107,AUND0702,78,850.8084371,23379.95358, ,220
46,47,1202040812,DR. BABASAHEB AMBEDKAR VASTI D.P. ROAD AUNDH,130,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,AUNDH,DAV SCHOOL AUNDH,30M DP ROAD,DECLARED,MGG 14/12/1989 Pg, ,412,8994.089655,"S.NO.159, 160",PRIVATE,TENABLE,EWS ZONE,0,PRAPOSAL SUBMITTED BY,0113,AUND0801,86,617.5894039,8994.089655, ,458
47,48,1202040803,BHAGWAN DADA KAMBLE AMBEDKAR NAGAR AUNDH ROAD,121,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,BHAU PATIL ROAD,30M DP ROAD - BHAU PATIL ROAD,DECLARED,"MGG 10/08/1978 PG 1758, 59, 60",38609 SQM,781,36320.24424,S.NO.39,PRIVATE,TENABLE,EWS ZONE,4686,NO,0103,AUND0701,79,868.580617,36320.24424, ,215
48,49,1202040818,HAMAL CHAWL TELI CHAWL BOPODI,136,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,OLD MUMBAI PUNE ROAD,42M OLD MUMBAI PUNE DP ROAD,NOT DECLARED, , ,35,2573.925658,S.NO.5/11,PRIVATE,TENABLE,EWS ZONE,210,NO,0119,AUND0613,85,203.7780499,2573.925658, ,136
49,50,1202040806,BHAU PATIL CHAWL BOPODI,124,CA-2,04 AUNDH BANER,08 AUNDH BOPODI,BOPODI,SAHYADRI HOSPITAL,42M DP ROAD,DECLARED,MGG 01/05/1980 Pg 1298,6315.34 SQM,406,19219.99763,"S.NO.5/3, 5/4",PRIVATE,TENABLE,EWS ZONE,2436,NO,0106,AUND0605,88,970.7155087,19219.99763, ,211
50,51,1205141802,343 GHORAPADE PETH GAFUR TAKIYA,426,CA-1,14 BHAVANI PETH,18 KHADAKMAL ALI M PHULE PETH,TPS-III,PHULE WADA,INTERNAL PETH ROAD,NOT DECLARED, , ,35,1053.79523,"FP.NO.196, 158",PRIVATE + PMC,COMPLETED,RESIDENTIAL + SERVICES ZONE,210,SRA SCHEME COMPLETED BY,0904,BHAV6506,83,153.0236289,1053.79523, ,332
51,52,1204112420,VAIDU WADI HADAPSAR,360,CA-1,11 VANWADI RAMTEKDI,24 RAMTEKDI SAYYAD NAGAR,HADAPSAR,SOLAPUR ROAD,60M 24M DP ROAD,NOT DECLARED, , ,1042,12993.11021,S.NO.315A,PRIVATE + STATE GOVT,TENABLE,EWS ZONE DP ROAD,6252,NO,1228,HADA4211,68,635.863609,12993.11021, ,802
52,53,1201032017,SHIVARKAR MALA RASTA PETH,78,CA-3,03 DHOLE PATIL,20 TADIWALA ROAD SASUN HOSPITAL,RASTA PETH,JAWAHARLAL NEHRU ROAD,INTERNAL ROAD,NOT DECLARED, , ,124,8700.175098,"CTS.NO.420, 421, 423D, 423E, 423E2",PRIVATE + STATE GOVT,TENABLE,RESIDENTIAL ZONE,744,NO,0561,DHOL4012,75,426.2890331,8700.175098, ,143
53,54,1202051401,CTS.NO.1108 KRANTIVEER CHAFEKAR NAGAR SHIVAJI NAGAR,177,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,ALL INDIA RADIO QUARTERS,CANAL ROAD,DECLARED,MGG 08/12/1983 Pg 3314,5610.20 SQM,277,4639.229459,CANAL,STATE GOVT,UNTENABLE,EWS ZONE WATERBODY,1662,NO,0206,GHOL1201,86,353.2526122,4639.229459, ,597
54,55,1202051404,HEALTH CAMP PANDAV NAGAR GUNJALWADI,180,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,FERGUSSION HILL,EXISTING ROAD,DECLARED,MGG 25/08/1988 Pg 1367,10522 SQM,426,12085.39037,FP.NO.B/3 CTS3027,FOREST,UNTENABLE,HILL TOP HILL SLOPE  ZONE,2130,NO,0209,GHOL2503,61,484.8060886,12085.39037, ,352
55,56,1202050724,VISHNU KRUPA NAGAR SHIVAJI NAGAR,175,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,SUBURBAN TPS,SHIVAJI NAGAR RAILWAY STATION,INTERNAL LAYOUT ROAD,NOT DECLARED, , ,172,4892.528167,FP.NO.29,PRIVATE,UNTENABLE,RESERVATION P-61 M-4.71 PMPML / RAILWAY,1032,NO,0249,GHOL1313,53,293.7737526,4892.528167, ,352
56,57,1202050709,JANWADI JANATA VASAHAT,160,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,07 PUNE UNIVERSITY WAKADEWADI,BHAMBHURDA,JANWADI GOKHALE NAGAR,24M DP ROAD,DECLARED,MGG 30/01/1986 Pg 360,21831 SQM,1567,34027.39375,"S.NO.101/1A, 101/2A",PRIVATE + PMC,TENABLE,RESIDENTIAL ZONE,9402,NO,0215,GHOL1105,73,1056.752853,34027.39375, ,461
57,58,1202051420,SHIVAJI NAGAR VAIDYA BUNGLOW,196,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,CANAL ROAD,CANAL ROAD,DECLARED,MGG 09/11/1989 Pg ___,_____ SQM,110,1930.343687,"FP.NO.318, 319",PRIVATE,COMPLETED,EWS ZONE,660,SRA SCHEME COMPLETED BY NAMAN ASSOCIATES,0246,GHOL1205,84,225.9914841,1930.343687, ,570
58,59,1202051412,PATIL BUNGLOW SHIVAJI NAGAR,188,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,FERGUSON COLLEGE,30M DP FC ROAD,DECLARED,MGG 31/10/1984 Pg 1719,4159.99 SQM,156,4453.488829,FP.NO.576,PRIVATE,TENABLE,NA,936,PRAPOSAL SUBMITTED BY NAMAN ASSOCIATES,0230,GHOL2405,83,348.1390327,4453.488829, ,350
59,60,1202051421,WADAR VASTI SHIVAJI NAGAR,197,CA-2,05 SHIVAJI NAGAR GHOLE ROAD,14 DECCAN GYMKHANA MODEL COLONY,TPS-I,DEEP BUNGLOW CHOWK TO FC ROAD,NO ACCESS ROAD,DECLARED,MGG 16/08/1973 Pg 1704 & 5,20140 SQM,1221,22126.95015,FP.NO.327 TO 335,PRIVATE,TENABLE,EWS/SI  ZONE,7326,NO,0201,GHOL2501,74,735.8435526,22126.95015, ,552
60,61,1205131602,226+227 CHATTRAPATI SHIVAJI STADIUM,377,CA-3,13 KASBA VISHRAMBAG,16 KASBA PETH SOMVAR PETH,TPS-I,CHATTRAPATI SHIVAJI STADIUM,30M DP ROAD,DECLARED,MGG 05/10/1983 Pg 3312,15486.20 SQM,829,19570.1525,"FP.NO.898B, 899C, 899B, 899F, 900, 902 AS PER TABLE 1",PRIVATE,TENABLE,EWS ZONE,4974,NO,0502,DHOL2303,74,873.0400294,19570.1525, ,424
61,62,1204112701,RAM MANDIR KONDHAWA KH,369,CA-1,11 VANWADI RAMTEKDI,27 KONDHWA KH MITHA NAGAR,KONDWA KH,KONDHWA GAOTHAN,INTERNAL ROAD,NOT DECLARED, , ,401,8682.472843,"CTS.NO.354, SNO.56, 57",PRIVATE,TENABLE,RESIDENTIAL ZONE,2406,NO,1524,KOND6303,75,504.7261003,8682.472843, ,462
